"x","mx"
34,0.263476195405012
34.2,0.2680366500145
34.4,0.272597104623988
34.6,0.277157559233477
34.8,0.281718013842965
35,0.286278468452453
35.2,0.290919187511193
35.4,0.295559906569933
35.6,0.300200625628674
35.8,0.304841344687414
36,0.309482063746154
36.2,0.314186355128773
36.4,0.318890646511392
36.6,0.32359493789401
36.8,0.328299229276629
37,0.333003520659248
37.2,0.337755525832008
37.4,0.342507531004769
37.6,0.347259536177529
37.8,0.35201154135029
38,0.35676354652305
38.2,0.361548325495543
38.4,0.366333104468036
38.6,0.37111788344053
38.8,0.375902662413023
39,0.380687441385516
39.2,0.385491028727534
39.4,0.390294616069552
39.6,0.395098203411569
39.8,0.399901790753587
40,0.404705378095605
40.2,0.409514814400051
40.4,0.414324250704497
40.6,0.419133687008944
40.8,0.42394312331339
41,0.428752559617836
41.2,0.433555902491986
41.4,0.438359245366137
41.6,0.443162588240287
41.8,0.447965931114438
42,0.452769273988588
42.2,0.457555592291805
42.4,0.462341910595022
42.6,0.46712822889824
42.8,0.471914547201457
43,0.476700865504674
43.2,0.481460220155382
43.4,0.486219574806089
43.6,0.490978929456797
43.8,0.495738284107504
44,0.500497638758212
44.2,0.50522105303137
44.4,0.509944467304528
44.6,0.514667881577685
44.8,0.519391295850843
45,0.524114710124001
45.2,0.528794131969717
45.4,0.533473553815433
45.6,0.53815297566115
45.8,0.542832397506866
46,0.547511819352582
46.2,0.55214007789816
46.4,0.556768336443738
46.6,0.561396594989315
46.8,0.566024853534893
47,0.570653112080471
47.2,0.575223870138914
47.4,0.579794628197357
47.6,0.584365386255801
47.8,0.588936144314244
48,0.593506902372687
48.2,0.598014606474166
48.4,0.602522310575646
48.6,0.607030014677125
48.8,0.611537718778605
49,0.616045422880084
49.2,0.620485252070188
49.4,0.624925081260293
49.6,0.629364910450397
49.8,0.633804739640502
50,0.638244568830606
50.2,0.642612383240039
50.4,0.646980197649471
50.6,0.651348012058904
50.8,0.655715826468336
51,0.660083640877769
51.2,0.664375930860913
51.4,0.668668220844058
51.6,0.672960510827202
51.8,0.677252800810347
52,0.681545090793491
52.2,0.685758927255752
52.4,0.689972763718013
52.6,0.694186600180275
52.8,0.698400436642536
53,0.702614273104797
53.2,0.706747259488219
53.4,0.71088024587164
53.6,0.715013232255062
53.8,0.719146218638483
54,0.723279205021905
54.2,0.727329431292485
54.4,0.731379657563065
54.6,0.735429883833646
54.8,0.739480110104226
55,0.743530336374806
55.2,0.74749633525039
55.4,0.751462334125974
55.6,0.755428333001559
55.8,0.759394331877143
56,0.763360330752727
56.2,0.767241036324649
56.4,0.771121741896571
56.6,0.775002447468493
56.8,0.778883153040415
57,0.782763858612337
57.2,0.786558567444578
57.4,0.790353276276819
57.6,0.794147985109059
57.8,0.7979426939413
58,0.801737402773541
58.2,0.805445737507736
58.4,0.809154072241931
58.6,0.812862406976125
58.8,0.81657074171032
59,0.820279076444515
59.2,0.823900951895556
59.4,0.827522827346598
59.6,0.831144702797639
59.8,0.834766578248681
60,0.838388453699722
60.2,0.841924045393089
60.4,0.845459637086457
60.6,0.848995228779824
60.8,0.852530820473192
61,0.856066412166559
61.2,0.85951612724322
61.4,0.86296584231988
61.6,0.866415557396541
61.8,0.869865272473201
62,0.873314987549862
62.2,0.876679437946144
62.4,0.880043888342426
62.6,0.883408338738707
62.8,0.886772789134989
63,0.890137239531271
63.2,0.893417217328301
63.4,0.896697195125331
63.6,0.89997717292236
63.8,0.90325715071939
64,0.90653712851642
64.2,0.909733583345456
64.4,0.912930038174492
64.6,0.916126493003529
64.8,0.919322947832565
65,0.922519402661601
65.2,0.925633421046966
65.4,0.928747439432331
65.6,0.931861457817695
65.8,0.93497547620306
66,0.938089494588425
66.2,0.941122281107998
66.4,0.944155067627571
66.6,0.947187854147143
66.8,0.950220640666716
67,0.953253427186289
67.2,0.956206287330021
67.4,0.959159147473754
67.6,0.962112007617486
67.8,0.965064867761219
68,0.968017727904951
68.2,0.970892052514069
68.4,0.973766377123186
68.6,0.976640701732304
68.8,0.979515026341421
69,0.982389350950539
69.2,0.985186602123581
69.4,0.987983853296623
69.6,0.990781104469664
69.8,0.993578355642706
70,0.996375606815748
70.2,0.999097305171988
70.4,1.00181900352823
70.6,1.00454070188447
70.8,1.00726240024071
71,1.00998409859695
71.2,1.0126318117928
71.4,1.01527952498865
71.6,1.01792723818451
71.8,1.02057495138036
72,1.02322266457621
72.2,1.02579799697561
72.4,1.02837332937502
72.6,1.03094866177442
72.8,1.03352399417383
73,1.03609932657323
73.2,1.03860390997874
73.4,1.04110849338425
73.6,1.04361307678975
73.8,1.04611766019526
74,1.04862224360077
74.2,1.05105772895772
74.4,1.05349321431467
74.6,1.05592869967163
74.8,1.05836418502858
75,1.06079967038553
75.2,1.06316772037746
75.4,1.0655357703694
75.6,1.06790382036133
75.8,1.07027187035327
76,1.0726399203452
76.2,1.07494220280421
76.4,1.07724448526322
76.6,1.07954676772224
76.8,1.08184905018125
77,1.08415133264026
77.2,1.08638951470143
77.4,1.0886276967626
77.6,1.09086587882378
77.8,1.09310406088495
78,1.09534224294612
78.2,1.09751798588038
78.4,1.09969372881463
78.6,1.10186947174889
78.8,1.10404521468314
79,1.1062209576174
79.2,1.10833591228207
79.4,1.11045086694674
79.6,1.11256582161142
79.8,1.11468077627609
80,1.11679573094076
80.2,1.11885153379181
80.4,1.12090733664285
80.6,1.1229631394939
80.8,1.12501894234494
81,1.12707474519599
81.2,1.12907301481031
81.4,1.13107128442462
81.6,1.13306955403894
81.8,1.13506782365325
82,1.13706609326757
82.2,1.13900842732788
82.4,1.14095076138818
82.6,1.14289309544849
82.8,1.14483542950879
83,1.1467777635691
83.2,1.1486657362678
83.4,1.1505537089665
83.6,1.15244168166521
83.8,1.15432965436391
84,1.15621762706261
84.2,1.15805278688464
84.4,1.15988794670667
84.6,1.16172310652869
84.8,1.16355826635072
85,1.16539342617275
85.2,1.16717729402068
85.4,1.16896116186861
85.6,1.17074502971653
85.8,1.17252889756446
86,1.17431276541239
86.2,1.17604683304026
86.4,1.17778090066813
86.6,1.179514968296
86.8,1.18124903592387
87,1.18298310355174
87.2,1.18466883227689
87.4,1.18635456100204
87.6,1.1880402897272
87.8,1.18972601845235
88,1.1914117471775
88.2,1.19305056684227
88.4,1.19468938650704
88.6,1.19632820617181
88.8,1.19796702583658
89,1.19960584550135
89.2,1.20119915365906
89.4,1.20279246181677
89.6,1.20438576997448
89.8,1.20597907813219
90,1.2075723862899
90.2,1.20912154759165
90.4,1.21067070889339
90.6,1.21221987019514
90.8,1.21376903149688
91,1.21531819279863
91.2,1.21682453855959
91.4,1.21833088432055
91.6,1.2198372300815
91.8,1.22134357584246
92,1.22284992160342
92.2,1.22431474952915
92.4,1.22577957745487
92.6,1.2272444053806
92.8,1.22870923330632
93,1.23017406123205
93.2,1.23159863528708
93.4,1.23302320934211
93.6,1.23444778339715
93.8,1.23587235745218
94,1.23729693150721
94.2,1.23868248190982
94.4,1.24006803231243
94.6,1.24145358271503
94.8,1.24283913311764
95,1.24422468352025
95.2,1.24557240684867
95.4,1.24692013017708
95.6,1.2482678535055
95.8,1.24961557683391
96,1.25096330016233
96.2,1.25227435955911
96.4,1.25358541895589
96.6,1.25489647835266
96.8,1.25620753774944
97,1.25751859714622
97.2,1.25879412260863
97.4,1.26006964807103
97.6,1.26134517353344
97.8,1.26262069899584
98,1.26389622445825
98.2,1.26513731320367
98.4,1.2663784019491
98.6,1.26761949069452
98.8,1.26886057943995
99,1.27010166818537
99.2,1.27130938508182
99.4,1.27251710197827
99.6,1.27372481887471
99.8,1.27493253577116
100,1.27614025266761
100.2,1.27731563072023
100.4,1.27849100877286
100.6,1.27966638682548
100.8,1.28084176487811
101,1.28201714293073
101.2,1.28316118381623
101.4,1.28430522470172
101.6,1.28544926558722
101.8,1.28659330647271
102,1.28773734735821
102.2,1.28885102199975
102.4,1.28996469664129
102.6,1.29107837128282
102.8,1.29219204592436
103,1.2933057205659
103.2,1.29438996974188
103.4,1.29547421891786
103.6,1.29655846809385
103.8,1.29764271726983
104,1.29872696644581
104.2,1.29978270142648
104.4,1.30083843640716
104.6,1.30189417138783
104.8,1.30294990636851
105,1.30400564134918
105.2,1.30503374455573
105.4,1.30606184776227
105.6,1.30708995096882
105.8,1.30811805417536
106,1.30914615738191
106.2,1.31014748306311
106.4,1.3111488087443
106.6,1.3121501344255
106.8,1.31315146010669
107,1.31415278578789
107.2,1.31512816071007
107.4,1.31610353563226
107.6,1.31707891055444
107.8,1.31805428547663
108,1.31902966039881
108.2,1.3199798845452
108.4,1.3209301086916
108.6,1.32188033283799
108.8,1.32283055698439
109,1.32378078113078
109.2,1.32470662840674
109.4,1.3256324756827
109.6,1.32655832295866
109.8,1.32748417023462
110,1.32841001751058
110.2,1.32931223645166
110.4,1.33021445539273
110.6,1.33111667433381
110.8,1.33201889327488
111,1.33292111221596
111.2,1.33380042669607
111.4,1.33467974117618
111.6,1.33555905565628
111.8,1.33643837013639
112,1.3373176846165
112.2,1.33817479455375
112.4,1.339031904491
112.6,1.33988901442826
112.8,1.34074612436551
113,1.34160323430276
113.2,1.34243881636084
113.4,1.34327439841892
113.6,1.34410998047699
113.8,1.34494556253507
114,1.34578114459315
114.2,1.34659585287635
114.4,1.34741056115955
114.6,1.34822526944275
114.8,1.34903997772595
115,1.34985468600915
115.2,1.35064915274947
115.4,1.35144361948978
115.6,1.3522380862301
115.8,1.35303255297041
116,1.35382701971073
116.2,1.35460185594557
116.4,1.3553766921804
116.6,1.35615152841524
116.8,1.35692636465007
117,1.35770120088491
117.2,1.3584569971242
117.4,1.35921279336349
117.6,1.35996858960278
117.8,1.36072438584207
118,1.36148018208136
118.2,1.36221750896307
118.4,1.36295483584478
118.6,1.3636921627265
118.8,1.36442948960821
119,1.36516681648992
119.2,1.36588622542304
119.4,1.36660563435616
119.6,1.36732504328927
119.8,1.36804445222239
120,1.36876386115551
120.2,1.3694658849498
120.4,1.37016790874409
