"x","mx"
3,0.00738527448564696
3.25,0.00872069564753327
3.5,0.0100561168094196
3.75,0.0113915379713059
4,0.0127269591331922
4.25,0.0142261168904141
4.5,0.0157252746476361
4.75,0.0172244324048581
5,0.01872359016208
5.25,0.0203431278574837
5.5,0.0219626655528874
5.75,0.0235822032482911
6,0.0252017409436948
6.25,0.027003848693196
6.5,0.0288059564426972
6.75,0.0306080641921985
7,0.0324101719416997
7.25,0.0344729238662526
7.5,0.0365356757908055
7.75,0.0385984277153584
8,0.0406611796399113
8.25,0.0430420384125976
8.5,0.0454228971852838
8.75,0.0478037559579701
9,0.0501846147306564
9.25,0.0529177792490444
9.5,0.0556509437674324
9.75,0.0583841082858204
10,0.0611172728042084
10.25,0.0642190122854703
10.5,0.0673207517667321
10.75,0.0704224912479939
11,0.0735242307292558
11.25,0.0769980563455594
11.5,0.0804718819618631
11.75,0.0839457075781667
12,0.0874195331944703
12.25,0.0912600109297357
12.5,0.0951004886650011
12.75,0.0989409664002666
13,0.102781444135532
13.25,0.106976900891148
13.5,0.111172357646764
13.75,0.115367814402379
14,0.119563271157995
14.25,0.124097736536031
14.5,0.128632201914067
14.75,0.133166667292104
15,0.13770113267014
15.25,0.142555753405067
15.5,0.147410374139995
15.75,0.152264994874923
16,0.15711961560985
16.25,0.162273694195113
16.5,0.167427772780376
16.75,0.172581851365638
17,0.177735929950901
17.25,0.183167686265638
17.5,0.188599442580374
17.75,0.194031198895111
18,0.199462955209847
18.25,0.205150079461904
18.5,0.21083720371396
18.75,0.216524327966017
19,0.222211452218073
19.25,0.228131500047235
19.5,0.234051547876398
19.75,0.23997159570556
20,0.245891643534722
20.25,0.252022310800891
20.5,0.258152978067061
20.75,0.264283645333231
21,0.2704143125994
21.25,0.276733621040321
21.5,0.283052929481241
21.75,0.289372237922161
22,0.295691546363082
22.25,0.302177963393334
22.5,0.308664380423585
22.75,0.315150797453837
23,0.321637214484089
23.25,0.32826972657351
23.5,0.334902238662931
23.75,0.341534750752352
24,0.348167262841773
24.25,0.354925417217796
24.5,0.361683571593818
24.75,0.368441725969841
25,0.375199880345864
25.25,0.382063806864513
25.5,0.388927733383162
25.75,0.39579165990181
26,0.402655586420459
26.25,0.409606007985789
26.5,0.41655642955112
26.75,0.423506851116451
27,0.430457272681781
27.25,0.437475510578472
27.5,0.444493748475163
27.75,0.451511986371853
28,0.458530224268544
28.25,0.465598202855561
28.5,0.472666181442577
28.75,0.479734160029594
29,0.486802138616611
29.25,0.493902392232542
29.5,0.501002645848473
29.75,0.508102899464403
30,0.515203153080334
30.25,0.522318836241664
30.5,0.529434519402993
30.75,0.536550202564323
31,0.543665885725653
31.25,0.55078078772381
31.5,0.557895689721968
31.75,0.565010591720126
32,0.572125493718283
32.25,0.579224057369719
32.5,0.586322621021155
32.75,0.593421184672591
33,0.600519748324027
33.25,0.607587091890359
33.5,0.61465443545669
33.75,0.621721779023022
34,0.628789122589353
34.25,0.635811064449814
34.5,0.642833006310275
34.75,0.649854948170735
35,0.656876890031196
35.25,0.663839974534644
35.5,0.670803059038092
35.75,0.677766143541539
36,0.684729228044987
36.25,0.691620751558508
36.5,0.698512275072029
36.75,0.705403798585549
37,0.71229532209907
37.25,0.719103357877018
37.5,0.725911393654966
37.75,0.732719429432914
38,0.739527465210862
38.25,0.746240886125954
38.5,0.752954307041045
38.75,0.759667727956136
39,0.766381148871228
39.25,0.772989646852696
39.5,0.779598144834163
39.75,0.78620664281563
40,0.792815140797098
40.25,0.799309242066664
40.5,0.80580334333623
40.75,0.812297444605797
41,0.818791545875363
41.25,0.825162621489554
41.5,0.831533697103744
41.75,0.837904772717935
42,0.844275848332126
42.25,0.850516119441138
42.5,0.85675639055015
42.75,0.862996661659162
43,0.869236932768174
43.25,0.875339470296411
43.5,0.881442007824649
43.75,0.887544545352886
44,0.893647082881123
44.25,0.899605801408233
44.5,0.905564519935342
44.75,0.911523238462452
45,0.917481956989561
45.25,0.923291603151433
45.5,0.929101249313305
45.75,0.934910895475176
46,0.940720541637048
46.25,0.946376676801038
46.5,0.952032811965027
46.75,0.957688947129017
47,0.963345082293007
47.25,0.968844060588642
47.5,0.974343038884276
47.75,0.979842017179911
48,0.985340995475546
48.25,0.99067993587829
48.5,0.996018876281033
48.75,1.00135781668378
49,1.00669675708652
49.25,1.01187351397793
49.5,1.01705027086934
49.75,1.02222702776076
50,1.02740378465217
50.25,1.03241691012317
50.5,1.03743003559416
50.75,1.04244316106515
51,1.04745628653615
51.25,1.05230499544254
51.5,1.05715370434893
51.75,1.06200241325532
52,1.06685112216171
52.25,1.07153524911945
52.5,1.07621937607718
52.75,1.08090350303492
53,1.08558762999266
53.25,1.090107588339
53.5,1.09462754668533
53.75,1.09914750503167
54,1.10366746337801
54.25,1.10802420167525
54.5,1.11238093997249
54.75,1.11673767826972
55,1.12109441656696
55.25,1.12528937412324
55.5,1.12948433167951
55.75,1.13367928923578
56,1.13787424679206
56.25,1.1419093084449
56.5,1.14594437009773
56.75,1.14997943175057
57,1.15401449340341
57.25,1.15789194700645
57.5,1.16176940060948
57.75,1.16564685421251
58,1.16952430781555
58.25,1.17324679975931
58.5,1.17696929170306
58.75,1.18069178364682
59,1.18441427559058
59.25,1.18798476902642
59.5,1.19155526246226
59.75,1.1951257558981
60,1.19869624933394
60.25,1.20211798338095
60.5,1.20553971742797
60.75,1.20896145147498
61,1.212383185522
61.25,1.21565963619411
61.5,1.21893608686623
61.75,1.22221253753834
62,1.22548898821045
62.25,1.22862383204668
62.5,1.23175867588291
62.75,1.23489351971914
63,1.23802836355537
63.25,1.24102544100433
63.5,1.24402251845329
63.75,1.24701959590226
64,1.25001667335122
64.25,1.25287995829918
64.5,1.25574324324713
64.75,1.25860652819509
65,1.26146981314305
65.25,1.26420337998455
65.5,1.26693694682606
65.75,1.26967051366757
66,1.27240408050907
66.25,1.27501207858984
66.5,1.2776200766706
66.75,1.28022807475137
67,1.28283607283214
67.25,1.28532269818878
67.5,1.28780932354542
67.75,1.29029594890206
68,1.2927825742587
68.25,1.29515204799345
68.5,1.29752152172821
68.75,1.29989099546296
69,1.30226046919771
69.25,1.30451701536172
69.5,1.30677356152572
69.75,1.30903010768973
70,1.31128665385374
70.25,1.31343448027921
70.5,1.31558230670467
70.75,1.31773013313013
71,1.3198779595556
71.25,1.32192124188258
71.5,1.32396452420957
71.75,1.32600780653655
72,1.32805108886353
72.25,1.32999395407527
72.5,1.33193681928701
72.75,1.33387968449874
73,1.33582254971048
73.25,1.33766906409205
73.5,1.33951557847362
73.75,1.34136209285519
74,1.34320860723676
74.25,1.34496276482524
74.5,1.34671692241371
74.75,1.34847108000219
75,1.35022523759067
75.25,1.35189095059119
75.5,1.35355666359172
75.75,1.35522237659224
76,1.35688808959276
76.25,1.3584691792861
76.5,1.36005026897945
76.75,1.3616313586728
77,1.36321244836614
77.25,1.36471264019388
77.5,1.36621283202163
77.75,1.36771302384938
78,1.36921321567712
78.25,1.3706361318694
78.5,1.37205904806169
78.75,1.37348196425398
79,1.37490488044626
79.25,1.37625403707288
79.5,1.3776031936995
79.75,1.37895235032612
80,1.38030150695274
80.25,1.3815803094998
80.5,1.38285911204687
80.75,1.38413791459393
81,1.385416717141
81.25,1.38662845952796
81.5,1.38784020191492
81.75,1.38905194430188
82,1.39026368668884
82.25,1.39141154905683
82.5,1.39255941142481
82.75,1.3937072737928
83,1.39485513616079
83.25,1.39594218388963
83.5,1.39702923161848
83.75,1.39811627934732
84,1.39920332707617
84.25,1.40023251127589
84.5,1.40126169547561
84.75,1.40229087967534
85,1.40332006387506
85.25,1.40429422236884
85.5,1.40526838086262
85.75,1.4062425393564
86,1.40721669785018
86.25,1.40813855517435
86.5,1.40906041249851
86.75,1.40998226982268
87,1.41090412714684
87.25,1.41177629651681
87.5,1.41264846588679
87.75,1.41352063525676
88,1.41439280462673
88.25,1.41521779039443
88.5,1.41604277616213
88.75,1.41686776192983
89,1.41769274769753
89.25,1.41847294633435
89.5,1.41925314497117
89.75,1.42003334360799
90,1.42081354224481
90.25,1.42155124627347
90.5,1.42228895030213
90.75,1.42302665433079
91,1.42376435835945
91.25,1.42446175758272
91.5,1.42515915680599
91.75,1.42585655602926
92,1.42655395525253
92.25,1.42721314043933
