Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
CZE  1970          .       5.47
CZE  1971          .       5.60
CZE  1972          .       5.70
CZE  1973          .       5.73
CZE  1974          .       5.69
CZE  1975          .       5.59
CZE  1976          .       5.46
CZE  1977          .       5.34
DNK  1901       6.14       5.43
DNK  1902       6.21       5.48
DNK  1903       6.26       5.52
DNK  1904       6.29       5.57
DNK  1905       6.30       5.61
DNK  1906       6.30       5.66
DNK  1907       6.25       5.68
DNK  1908       6.18       5.67
DNK  1909       6.11       5.64
DNK  1910       6.02       5.55
DNK  1911       5.91       5.45
DNK  1912       5.81       5.36
DNK  1913       5.73       5.29
DNK  1914       5.66       5.22
DNK  1915       5.61       5.16
DNK  1916       5.55       5.13
DNK  1917       5.51       5.09
DNK  1918       5.48       5.05
DNK  1919       5.48       5.06
DNK  1920       5.48       5.07
DNK  1921       5.48       5.09
DNK  1922       5.48       5.10
DNK  1923       5.45       5.10
DNK  1924       5.45       5.13
DNK  1925       5.45       5.15
DNK  1926       5.42       5.15
DNK  1927       5.39       5.15
DNK  1928       5.35       5.13
DNK  1929       5.28       5.08
DNK  1930       5.22       5.03
DNK  1931       5.16       4.98
DNK  1932       5.09       4.92
DNK  1933       5.04       4.87
DNK  1934       4.99       4.83
DNK  1935       4.92       4.77
DNK  1936       4.86       4.73
DNK  1937       4.83       4.69
DNK  1938       4.80       4.66
DNK  1939       4.79       4.66
DNK  1940       4.81       4.67
DNK  1941       4.82       4.68
DNK  1942       4.82       4.67
DNK  1943       4.85       4.68
DNK  1944       4.89       4.71
DNK  1945       4.90       4.71
DNK  1946       4.94       4.73
DNK  1947       4.99       4.78
DNK  1948       5.09       4.86
DNK  1949       5.16       4.91
DNK  1950       5.22       4.95
DNK  1951       5.29       5.00
DNK  1952       5.34       5.07
DNK  1953       5.39       5.12
DNK  1954       5.45       5.18
DNK  1955       5.52       5.24
DNK  1956       5.53       5.26
DNK  1957       5.53       5.26
DNK  1958       5.52       5.26
DNK  1959       5.47       5.20
DNK  1960       5.41       5.12
DNK  1961       5.34       5.05
DNK  1962       5.29       4.99
DNK  1963       5.23       4.91
DNK  1964       5.18       4.85
DNK  1965       5.15       4.82
DNK  1966       5.16       4.81
DNK  1967          .       4.81
DNK  1968          .       4.84
DNK  1969          .       4.87
DNK  1970          .       4.87
DNK  1971          .       4.88
DNK  1972          .       4.87
DNK  1973          .       4.86
DNK  1974          .       4.83
DNK  1975          .       4.81
DNK  1976          .       4.79
EST  1944       5.08       4.80
EST  1945       5.13       4.81
EST  1946       5.16       4.86
EST  1947       5.10       4.81
EST  1948       5.15       4.87
EST  1949       5.19       4.95
EST  1950       5.19       4.97
EST  1951       5.18       4.98
EST  1952       5.16       4.99
EST  1953       5.11       4.92
EST  1954       5.11       4.88
EST  1955       5.03       4.79
EST  1956       4.92       4.69
EST  1957       4.90       4.62
EST  1958       4.87       4.60
EST  1959       4.85       4.56
EST  1960       4.86       4.53
EST  1961       4.94       4.60
EST  1962       5.05       4.66
EST  1963       5.18       4.75
EST  1964       5.31       4.89
EST  1965       5.57       5.08
