Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort   sdCMAB   sdCMAB40
RUS  1968          .       5.20
RUS  1969          .       5.34
RUS  1970          .       5.48
RUS  1971          .       5.63
RUS  1972          .       5.75
RUS  1973          .       5.84
RUS  1974          .       5.91
SVK  1935       5.15       4.90
SVK  1936       5.12       4.88
SVK  1937       5.09       4.87
SVK  1938       5.07       4.87
SVK  1939       5.05       4.87
SVK  1940       5.03       4.85
SVK  1941       4.97       4.81
SVK  1942       4.94       4.78
SVK  1943       4.94       4.78
SVK  1944       4.88       4.73
SVK  1945       4.83       4.67
SVK  1946       4.76       4.61
SVK  1947       4.71       4.56
SVK  1948       4.69       4.52
SVK  1949       4.68       4.51
SVK  1950       4.67       4.48
SVK  1951       4.65       4.46
SVK  1952       4.66       4.48
SVK  1953       4.66       4.48
SVK  1954       4.66       4.49
SVK  1955       4.69       4.52
SVK  1956       4.70       4.50
SVK  1957       4.71       4.51
SVK  1958       4.72       4.52
SVK  1959       4.73       4.52
SVK  1960       4.77       4.53
SVK  1961       4.79       4.55
SVK  1962       4.78       4.54
SVK  1963       4.83       4.56
SVK  1964       4.93       4.62
SVK  1965          .       4.65
SVK  1966          .       4.74
SVK  1967          .       4.85
SVK  1968          .       4.98
SVK  1969          .       5.09
SVK  1970          .       5.24
SVK  1971          .       5.38
SVK  1972          .       5.49
SVK  1973          .       5.63
SVK  1974          .       5.70
SVN  1968          .       5.27
SVN  1969          .       5.41
SVN  1970          .       5.44
SVN  1971          .       5.45
SVN  1972          .       5.43
SVN  1973          .       5.39
SVN  1974          .       5.33
SVN  1975          .       5.26
SVN  1976          .       5.16
SVN  1977          .       5.07
ESP  1907       6.02       5.21
ESP  1908       6.03       5.25
ESP  1909       6.04       5.30
ESP  1910       6.05       5.32
ESP  1911       6.06       5.32
ESP  1912       6.05       5.32
ESP  1913       6.04       5.30
ESP  1914       6.01       5.26
ESP  1915       5.98       5.20
ESP  1916       5.93       5.13
ESP  1917       5.88       5.08
ESP  1918       5.85       5.06
ESP  1919       5.85       5.07
ESP  1920       5.87       5.09
ESP  1921       5.90       5.12
ESP  1922       5.91       5.13
ESP  1923       5.91       5.13
ESP  1924       5.88       5.13
ESP  1925       5.84       5.12
ESP  1926       5.78       5.10
ESP  1927       5.71       5.07
ESP  1928       5.64       5.03
ESP  1929       5.59       4.99
ESP  1930       5.55       4.94
ESP  1931       5.51       4.90
ESP  1932       5.47       4.88
ESP  1933       5.43       4.86
ESP  1934       5.40       4.85
ESP  1935       5.36       4.84
ESP  1936       5.31       4.82
ESP  1937       5.27       4.80
ESP  1938       5.23       4.78
ESP  1939       5.19       4.77
ESP  1940       5.16       4.75
ESP  1941       5.08       4.69
ESP  1942       5.01       4.65
ESP  1943       4.96       4.62
ESP  1944       4.92       4.59
ESP  1945       4.88       4.57
ESP  1946       4.84       4.55
ESP  1947       4.81       4.54
ESP  1948       4.80       4.53
ESP  1949       4.81       4.54
ESP  1950       4.84       4.57
ESP  1951       4.87       4.60
ESP  1952       4.91       4.64
ESP  1953       4.97       4.70
ESP  1954       5.07       4.79
ESP  1955       5.17       4.88
ESP  1956       5.28       4.98
ESP  1957       5.40       5.08
ESP  1958       5.51       5.17
ESP  1959       5.62       5.26
ESP  1960       5.72       5.33
ESP  1961       5.79       5.39
ESP  1962       5.84       5.44
ESP  1963       5.88       5.47
ESP  1964       5.91       5.49
ESP  1965       5.94       5.51
ESP  1966       5.96       5.52
ESP  1967          .       5.54
ESP  1968          .       5.55
ESP  1969          .       5.52
ESP  1970          .       5.45
ESP  1971          .       5.37
ESP  1972          .       5.27
ESP  1973          .       5.19
ESP  1974          .       5.12
ESP  1975          .       5.07
ESP  1976          .       5.05
SWE  1876       6.23       5.29
SWE  1877       6.24       5.30
SWE  1878       6.24       5.31
SWE  1879       6.26       5.32
SWE  1880       6.26       5.35
SWE  1881       6.26       5.38
SWE  1882       6.25       5.40
SWE  1883       6.24       5.42
SWE  1884       6.23       5.42
SWE  1885       6.21       5.42
SWE  1886       6.19       5.42
SWE  1887       6.17       5.42
SWE  1888       6.17       5.43
SWE  1889       6.16       5.43
SWE  1890       6.13       5.41
SWE  1891       6.10       5.38
SWE  1892       6.09       5.38
SWE  1893       6.09       5.37
SWE  1894       6.10       5.37
SWE  1895       6.12       5.38
SWE  1896       6.14       5.38
SWE  1897       6.16       5.40
SWE  1898       6.19       5.43
SWE  1899       6.29       5.49
SWE  1900       6.37       5.54
SWE  1901       6.44       5.59
SWE  1902       6.49       5.64
SWE  1903       6.51       5.69
SWE  1904       6.52       5.74
SWE  1905       6.51       5.77
SWE  1906       6.47       5.80
SWE  1907       6.40       5.79
SWE  1908       6.32       5.76
SWE  1909       6.24       5.71
SWE  1910       6.15       5.63
SWE  1911       6.02       5.52
SWE  1912       5.91       5.41
SWE  1913       5.83       5.33
SWE  1914       5.74       5.26
SWE  1915       5.68       5.18
SWE  1916       5.64       5.15
SWE  1917       5.61       5.14
SWE  1918       5.60       5.13
SWE  1919       5.59       5.14
SWE  1920       5.60       5.15
SWE  1921       5.62       5.18
SWE  1922       5.62       5.19
SWE  1923       5.61       5.20
SWE  1924       5.63       5.24
SWE  1925       5.63       5.28
SWE  1926       5.63       5.31
SWE  1927       5.62       5.32
SWE  1928       5.58       5.31
SWE  1929       5.53       5.27
SWE  1930       5.45       5.23
SWE  1931       5.40       5.20
SWE  1932       5.33       5.14
SWE  1933       5.26       5.06
SWE  1934       5.20       5.02
SWE  1935       5.14       4.96
SWE  1936       5.11       4.91
SWE  1937       5.07       4.86
SWE  1938       5.07       4.84
SWE  1939       5.08       4.83
SWE  1940       5.10       4.85
SWE  1941       5.17       4.91
SWE  1942       5.22       4.95
SWE  1943       5.31       5.01
SWE  1944       5.37       5.07
SWE  1945       5.42       5.14
SWE  1946       5.51       5.21
SWE  1947       5.60       5.28
SWE  1948       5.67       5.34
SWE  1949       5.68       5.35
SWE  1950       5.72       5.38
SWE  1951       5.72       5.40
SWE  1952       5.73       5.42
SWE  1953       5.75       5.45
SWE  1954       5.75       5.46
SWE  1955       5.72       5.43
SWE  1956       5.66       5.37
SWE  1957       5.55       5.26
SWE  1958       5.46       5.15
SWE  1959       5.38       5.06
SWE  1960       5.35       4.99
SWE  1961       5.29       4.91
SWE  1962       5.32       4.91
SWE  1963       5.32       4.88
SWE  1964       5.35       4.92
SWE  1965       5.44       4.98
SWE  1966       5.51       5.03
SWE  1967       5.58       5.12
SWE  1968       5.67       5.22
SWE  1969          .       5.27
SWE  1970          .       5.32
SWE  1971          .       5.29
SWE  1972          .       5.23
SWE  1973          .       5.14
SWE  1974          .       5.03
SWE  1975          .       4.97
SWE  1976          .       4.91
SWE  1977          .       4.86
SWE  1978          .       4.83
CHE  1917       5.32       4.75
CHE  1918       5.33       4.77
CHE  1919       5.39       4.80
CHE  1920       5.39       4.83
CHE  1921       5.42       4.86
CHE  1922       5.41       4.87
CHE  1923       5.41       4.90
CHE  1924       5.43       4.94
CHE  1925       5.41       4.96
CHE  1926       5.41       4.97
CHE  1927       5.36       4.95
CHE  1928       5.29       4.94
CHE  1929       5.23       4.89
CHE  1930       5.15       4.83
CHE  1931       5.08       4.79
CHE  1932       5.00       4.75
CHE  1933       4.92       4.69
CHE  1934       4.84       4.62
CHE  1935       4.77       4.57
CHE  1936       4.73       4.53
CHE  1937       4.64       4.46
CHE  1938       4.62       4.43
CHE  1939       4.62       4.43
CHE  1940       4.64       4.44
CHE  1941       4.64       4.45
CHE  1942       4.72       4.52
CHE  1943       4.77       4.57
CHE  1944       4.83       4.63
CHE  1945       4.91       4.70
CHE  1946       4.93       4.73
CHE  1947       5.00       4.78
CHE  1948       5.05       4.83
CHE  1949       5.09       4.87
CHE  1950       5.17       4.92
CHE  1951       5.22       4.97
CHE  1952       5.23       4.97
CHE  1953       5.22       4.98
CHE  1954       5.24       4.98
CHE  1955       5.20       4.94
CHE  1956       5.16       4.88
CHE  1957       5.14       4.86
CHE  1958       5.10       4.81
CHE  1959       5.08       4.78
CHE  1960       5.11       4.79
CHE  1961       5.13       4.79
CHE  1962       5.16       4.81
CHE  1963       5.14       4.78
CHE  1964       5.19       4.79
CHE  1965       5.20       4.78
CHE  1966       5.24       4.81
CHE  1967          .       4.81
CHE  1968          .       4.84
CHE  1969          .       4.94
CHE  1970          .       4.96
CHE  1971          .       5.03
CHE  1972          .       5.06
CHE  1973          .       5.08
CHE  1974          .       5.09
CHE  1975          .       5.06
CHE  1976          .       5.07
TWN  1961       4.90       4.76
TWN  1962       4.91       4.76
TWN  1963       4.90       4.75
TWN  1964       4.87       4.72
TWN  1965          .       4.68
TWN  1966          .       4.64
TWN  1967          .       4.61
TWN  1968          .       4.61
TWN  1969          .       4.65
TWN  1970          .       4.72
TWN  1971          .       4.80
TWN  1972          .       4.93
TWN  1973          .       5.07
TWN  1974          .       5.21
UKR  1944       5.09       4.81
UKR  1945       5.01       4.74
UKR  1946       5.02       4.76
UKR  1947       4.99       4.75
UKR  1948       4.97       4.76
UKR  1949       5.02       4.82
UKR  1950       4.97       4.79
UKR  1951       4.96       4.79
UKR  1952       4.94       4.78
UKR  1953       4.92       4.77
UKR  1954       4.89       4.74
UKR  1955       4.83       4.68
UKR  1956       4.76       4.61
UKR  1957       4.70       4.54
UKR  1958       4.65       4.48
UKR  1959       4.59       4.42
UKR  1960       4.53       4.36
UKR  1961       4.51       4.32
UKR  1962       4.53       4.32
UKR  1963       4.57       4.33
UKR  1964          .       4.38
UKR  1965          .       4.44
UKR  1966          .       4.54
UKR  1967          .       4.67
UKR  1968          .       4.81
UKR  1969          .       4.97
UKR  1970          .       5.14
UKR  1971          .       5.33
UKR  1972          .       5.51
UKR  1973          .       5.65
GBR_NP  1959       5.70       5.34
GBR_NP  1960       5.74       5.36
GBR_NP  1961       5.76       5.38
GBR_NP  1962       5.78       5.38
GBR_NP  1963       5.81       5.39
GBR_NP  1964       5.85       5.41
GBR_NP  1965       5.90       5.45
GBR_NP  1966       5.97       5.52
GBR_NP  1967          .       5.60
GBR_NP  1968          .       5.68
GBR_NP  1969          .       5.75
GBR_NP  1970          .       5.80
GBR_NP  1971          .       5.84
GBR_NP  1972          .       5.87
GBR_NP  1973          .       5.87
GBR_NP  1974          .       5.86
GBR_NP  1975          .       5.85
GBR_NP  1976          .       5.85
GBRTENW  1923       5.61       5.12
GBRTENW  1924       5.62       5.15
GBRTENW  1925       5.61       5.18
GBRTENW  1926       5.58       5.20
GBRTENW  1927       5.54       5.19
GBRTENW  1928       5.48       5.15
GBRTENW  1929       5.40       5.10
GBRTENW  1930       5.31       5.03
GBRTENW  1931       5.22       4.95
GBRTENW  1932       5.13       4.88
GBRTENW  1933       5.03       4.80
GBRTENW  1934       4.95       4.71
GBRTENW  1935       4.87       4.65
GBRTENW  1936       4.80       4.58
GBRTENW  1937       4.75       4.53
GBRTENW  1938       4.73       4.49
GBRTENW  1939       4.74       4.48
GBRTENW  1940       4.77       4.50
GBRTENW  1941       4.80       4.54
GBRTENW  1942       4.85       4.59
GBRTENW  1943       4.92       4.67
GBRTENW  1944       5.02       4.76
GBRTENW  1945       5.11       4.85
GBRTENW  1946       5.19       4.93
GBRTENW  1947       5.26       5.00
GBRTENW  1948       5.35       5.09
GBRTENW  1949       5.45       5.17
GBRTENW  1950       5.54       5.25
GBRTENW  1951       5.62       5.32
GBRTENW  1952       5.66       5.35
GBRTENW  1953       5.68       5.38
GBRTENW  1954       5.71       5.39
GBRTENW  1955       5.71       5.38
GBRTENW  1956       5.71       5.37
GBRTENW  1957       5.70       5.36
GBRTENW  1958       5.69       5.34
GBRTENW  1959       5.72       5.35
GBRTENW  1960       5.75       5.37
GBRTENW  1961       5.78       5.38
GBRTENW  1962       5.80       5.39
GBRTENW  1963       5.82       5.39
GBRTENW  1964       5.86       5.42
GBRTENW  1965       5.92       5.46
GBRTENW  1966       5.99       5.52
GBRTENW  1967          .       5.60
GBRTENW  1968          .       5.68
GBRTENW  1969          .       5.75
GBRTENW  1970          .       5.80
GBRTENW  1971          .       5.84
GBRTENW  1972          .       5.87
GBRTENW  1973          .       5.87
GBRTENW  1974          .       5.86
GBRTENW  1975          .       5.85
GBRTENW  1976          .       5.85
GBR_SCO  1930       5.28       5.01
GBR_SCO  1931       5.17       4.93
GBR_SCO  1932       5.07       4.85
GBR_SCO  1933       4.98       4.77
GBR_SCO  1934       4.89       4.70
GBR_SCO  1935       4.81       4.64
GBR_SCO  1936       4.76       4.58
GBR_SCO  1937       4.70       4.52
GBR_SCO  1938       4.65       4.47
GBR_SCO  1939       4.65       4.46
GBR_SCO  1940       4.64       4.44
GBR_SCO  1941       4.64       4.44
GBR_SCO  1942       4.68       4.48
GBR_SCO  1943       4.74       4.54
GBR_SCO  1944       4.81       4.62
GBR_SCO  1945       4.88       4.69
GBR_SCO  1946       4.95       4.76
GBR_SCO  1947       5.02       4.83
GBR_SCO  1948       5.10       4.91
GBR_SCO  1949       5.17       4.96
GBR_SCO  1950       5.23       5.01
GBR_SCO  1951       5.31       5.08
GBR_SCO  1952       5.37       5.14
GBR_SCO  1953       5.42       5.17
GBR_SCO  1954       5.48       5.22
GBR_SCO  1955       5.53       5.27
GBR_SCO  1956       5.53       5.26
GBR_SCO  1957       5.55       5.27
GBR_SCO  1958       5.58       5.29
GBR_SCO  1959       5.60       5.30
GBR_SCO  1960       5.63       5.33
GBR_SCO  1961       5.67       5.35
GBR_SCO  1962       5.70       5.36
GBR_SCO  1963       5.73       5.38
GBR_SCO  1964       5.76       5.39
GBR_SCO  1965       5.83       5.44
GBR_SCO  1966       5.93       5.53
GBR_SCO  1967          .       5.60
GBR_SCO  1968          .       5.67
GBR_SCO  1969          .       5.75
GBR_SCO  1970          .       5.81
GBR_SCO  1971          .       5.86
GBR_SCO  1972          .       5.91
GBR_SCO  1973          .       5.91
GBR_SCO  1974          .       5.89
GBR_SCO  1975          .       5.88
GBR_SCO  1976          .       5.87
GBR_NIR  1959       5.56       5.26
GBR_NIR  1960       5.54       5.23
GBR_NIR  1961       5.57       5.23
GBR_NIR  1962       5.55       5.22
GBR_NIR  1963       5.56       5.23
GBR_NIR  1964       5.63       5.28
GBR_NIR  1965       5.69       5.32
GBR_NIR  1966       5.76       5.37
GBR_NIR  1967          .       5.44
GBR_NIR  1968          .       5.50
GBR_NIR  1969          .       5.57
GBR_NIR  1970          .       5.64
GBR_NIR  1971          .       5.69
GBR_NIR  1972          .       5.71
GBR_NIR  1973          .       5.69
GBR_NIR  1974          .       5.67
GBR_NIR  1975          .       5.65
GBR_NIR  1976          .       5.64
USA  1918       6.12       5.66
USA  1919       6.10       5.65
USA  1920       6.06       5.62
USA  1921       6.00       5.58
USA  1922       5.95       5.55
USA  1923       5.88       5.51
USA  1924       5.81       5.46
USA  1925       5.75       5.42
USA  1926       5.67       5.37
USA  1927       5.62       5.34
USA  1928       5.56       5.30
USA  1929       5.49       5.25
USA  1930       5.42       5.20
USA  1931       5.33       5.13
USA  1932       5.25       5.06
USA  1933       5.17       4.99
USA  1934       5.10       4.93
USA  1935       5.05       4.87
USA  1936       5.00       4.82
USA  1937       4.98       4.80
USA  1938       4.97       4.79
USA  1939       5.00       4.81
USA  1940       5.05       4.85
USA  1941       5.08       4.87
USA  1942       5.11       4.90
USA  1943       5.17       4.95
USA  1944       5.26       5.04
USA  1945       5.36       5.12
USA  1946       5.44       5.19
USA  1947       5.52       5.25
USA  1948       5.63       5.35
USA  1949       5.75       5.45
USA  1950       5.85       5.54
USA  1951       5.91       5.60
USA  1952       5.96       5.65
USA  1953       6.00       5.68
USA  1954       6.04       5.71
USA  1955       6.06       5.73
USA  1956       6.08       5.73
USA  1957       6.09       5.74
USA  1958       6.09       5.74
USA  1959       6.11       5.74
USA  1960       6.12       5.75
USA  1961       6.13       5.75
USA  1962       6.15       5.76
USA  1963       6.16       5.77
USA  1964       6.18       5.78
USA  1965       6.21       5.81
USA  1966       6.25       5.85
USA  1967       6.28       5.88
USA  1968          .       5.91
USA  1969          .       5.93
USA  1970          .       5.95
USA  1971          .       5.96
USA  1972          .       5.98
USA  1973          .       5.99
USA  1974          .       5.99
USA  1975          .       5.99
USA  1976          .       5.98
USA  1977          .       5.98
