Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort    CMAB    CMAB40
CZE  1971         .     25.95
CZE  1972         .     26.37
CZE  1973         .     26.76
CZE  1974         .     27.26
CZE  1975         .     27.81
CZE  1976         .     28.24
CZE  1977         .     28.70
DNK  1901     28.69     27.98
DNK  1902     28.80     28.06
DNK  1903     28.84     28.08
DNK  1904     28.89     28.12
DNK  1905     29.05     28.28
DNK  1906     29.16     28.44
DNK  1907     29.19     28.54
DNK  1908     29.22     28.65
DNK  1909     29.25     28.72
DNK  1910     29.23     28.72
DNK  1911     29.13     28.65
DNK  1912     29.04     28.58
DNK  1913     28.94     28.51
DNK  1914     28.81     28.38
DNK  1915     28.64     28.23
DNK  1916     28.43     28.05
DNK  1917     28.24     27.87
DNK  1918     28.06     27.70
DNK  1919     27.89     27.53
DNK  1920     27.72     27.39
DNK  1921     27.61     27.29
DNK  1922     27.51     27.19
DNK  1923     27.41     27.12
DNK  1924     27.34     27.07
DNK  1925     27.22     26.97
DNK  1926     27.12     26.91
DNK  1927     27.08     26.89
DNK  1928     27.02     26.85
DNK  1929     26.91     26.75
DNK  1930     26.79     26.64
DNK  1931     26.68     26.55
DNK  1932     26.54     26.42
DNK  1933     26.42     26.30
DNK  1934     26.29     26.18
DNK  1935     26.19     26.09
DNK  1936     26.10     26.01
DNK  1937     25.99     25.90
DNK  1938     25.92     25.83
DNK  1939     25.84     25.75
DNK  1940     25.75     25.66
DNK  1941     25.68     25.60
DNK  1942     25.66     25.57
DNK  1943     25.62     25.51
DNK  1944     25.60     25.48
DNK  1945     25.65     25.53
DNK  1946     25.72     25.59
DNK  1947     25.79     25.65
DNK  1948     25.91     25.76
DNK  1949     26.04     25.87
DNK  1950     26.21     26.02
DNK  1951     26.40     26.20
DNK  1952     26.62     26.41
DNK  1953     26.85     26.64
DNK  1954     27.06     26.85
DNK  1955     27.31     27.08
DNK  1956     27.54     27.30
DNK  1957     27.78     27.54
DNK  1958     28.04     27.80
DNK  1959     28.27     28.02
DNK  1960     28.52     28.25
DNK  1961     28.69     28.42
DNK  1962     28.84     28.57
DNK  1963     29.01     28.73
DNK  1964     29.11     28.81
DNK  1965     29.22     28.92
DNK  1966     29.34     29.02
DNK  1967         .     29.12
DNK  1968         .     29.22
DNK  1969         .     29.31
DNK  1970         .     29.44
DNK  1971         .     29.57
DNK  1972         .     29.65
DNK  1973         .     29.75
DNK  1974         .     29.81
DNK  1975         .     29.82
DNK  1976         .     29.86
EST  1944     26.71     26.51
EST  1945     26.63     26.40
EST  1946     26.43     26.21
EST  1947     26.40     26.19
EST  1948     26.33     26.12
EST  1949     26.27     26.10
EST  1950     26.23     26.07
EST  1951     26.13     25.99
EST  1952     26.17     26.04
EST  1953     26.04     25.91
EST  1954     26.09     25.94
EST  1955     25.99     25.83
EST  1956     25.85     25.70
EST  1957     25.75     25.58
EST  1958     25.59     25.43
EST  1959     25.43     25.25
EST  1960     25.33     25.14
EST  1961     25.32     25.11
EST  1962     25.33     25.08
EST  1963     25.39     25.11
EST  1964     25.47     25.18
EST  1965     25.59     25.24
EST  1966     25.73     25.35
EST  1967     25.88     25.47
EST  1968         .     25.67
EST  1969         .     26.03
EST  1970         .     26.24
EST  1971         .     26.38
EST  1972         .     26.71
EST  1973         .     27.04
EST  1974         .     27.21
EST  1975         .     27.46
EST  1976         .     27.69
EST  1977         .     28.07
FIN  1924     28.60     28.11
FIN  1925     28.35     27.92
FIN  1926     28.15     27.75
FIN  1927     27.95     27.61
FIN  1928     27.80     27.51
FIN  1929     27.66     27.41
FIN  1930     27.50     27.29
FIN  1931     27.38     27.17
FIN  1932     27.20     27.01
FIN  1933     27.00     26.80
FIN  1934     26.81     26.61
FIN  1935     26.66     26.46
FIN  1936     26.56     26.34
FIN  1937     26.48     26.25
FIN  1938     26.42     26.19
FIN  1939     26.38     26.13
FIN  1940     26.41     26.16
FIN  1941     26.42     26.14
FIN  1942     26.49     26.19
FIN  1943     26.54     26.25
FIN  1944     26.61     26.30
FIN  1945     26.73     26.43
FIN  1946     26.85     26.57
FIN  1947     27.05     26.74
FIN  1948     27.15     26.83
FIN  1949     27.27     26.94
FIN  1950     27.38     27.05
FIN  1951     27.52     27.19
FIN  1952     27.60     27.27
FIN  1953     27.78     27.45
FIN  1954     27.86     27.54
FIN  1955     27.96     27.63
FIN  1956     28.11     27.75
FIN  1957     28.22     27.86
FIN  1958     28.38     28.02
FIN  1959     28.51     28.15
FIN  1960     28.71     28.36
FIN  1961     28.86     28.48
FIN  1962     28.98     28.58
FIN  1963     29.11     28.73
FIN  1964     29.18     28.79
FIN  1965     29.27     28.86
FIN  1966     29.33     28.92
FIN  1967     29.47     29.05
FIN  1968     29.52     29.09
FIN  1969         .     29.12
FIN  1970         .     29.17
FIN  1971         .     29.30
FIN  1972         .     29.37
FIN  1973         .     29.47
FIN  1974         .     29.56
FIN  1975         .     29.61
FIN  1976         .     29.68
FIN  1977         .     29.69
FIN  1978         .     29.66
FRATNP  1931     27.42     27.14
FRATNP  1932     27.35     27.10
FRATNP  1933     27.29     27.06
FRATNP  1934     27.18     26.99
FRATNP  1935     27.10     26.94
FRATNP  1936     26.98     26.82
FRATNP  1937     26.82     26.68
FRATNP  1938     26.72     26.57
FRATNP  1939     26.57     26.42
FRATNP  1940     26.45     26.28
FRATNP  1941     26.22     26.05
FRATNP  1942     26.10     25.93
FRATNP  1943     26.00     25.83
FRATNP  1944     25.97     25.79
FRATNP  1945     25.95     25.76
FRATNP  1946     26.00     25.80
FRATNP  1947     26.14     25.93
FRATNP  1948     26.26     26.04
FRATNP  1949     26.33     26.11
FRATNP  1950     26.51     26.27
FRATNP  1951     26.59     26.35
FRATNP  1952     26.73     26.48
FRATNP  1953     26.84     26.59
FRATNP  1954     26.95     26.70
FRATNP  1955     27.04     26.77
FRATNP  1956     27.15     26.87
FRATNP  1957     27.27     26.98
FRATNP  1958     27.41     27.10
FRATNP  1959     27.58     27.26
FRATNP  1960     27.72     27.39
FRATNP  1961     27.89     27.56
FRATNP  1962     28.08     27.72
FRATNP  1963     28.30     27.94
FRATNP  1964     28.52     28.14
FRATNP  1965     28.74     28.34
FRATNP  1966     28.93     28.52
FRATNP  1967     29.10     28.68
FRATNP  1968         .     28.81
FRATNP  1969         .     28.97
FRATNP  1970         .     29.13
FRATNP  1971         .     29.27
FRATNP  1972         .     29.40
FRATNP  1973         .     29.49
FRATNP  1974         .     29.57
FRATNP  1975         .     29.62
FRATNP  1976         .     29.68
FRATNP  1977         .     29.70
DEUTNP  1941     25.75     25.63
DEUTNP  1942     25.65     25.52
DEUTNP  1943     25.51     25.38
DEUTNP  1944     25.37     25.24
DEUTNP  1945     25.35     25.21
DEUTNP  1946     25.34     25.19
DEUTNP  1947     25.41     25.25
DEUTNP  1948     25.56     25.39
DEUTNP  1949     25.69     25.52
DEUTNP  1950     25.83     25.65
DEUTNP  1951     25.92     25.75
DEUTNP  1952     26.09     25.92
DEUTNP  1953     26.22     26.04
DEUTNP  1954     26.38     26.20
DEUTNP  1955     26.49     26.30
DEUTNP  1956     26.65     26.45
DEUTNP  1957     26.79     26.58
DEUTNP  1958     26.93     26.71
DEUTNP  1959     27.00     26.77
DEUTNP  1960     27.13     26.89
DEUTNP  1961     27.30     27.04
DEUTNP  1962     27.48     27.21
DEUTNP  1963     27.72     27.44
DEUTNP  1964     27.95     27.65
DEUTNP  1965     28.23     27.90
DEUTNP  1966     28.48     28.13
DEUTNP  1967     28.73     28.36
DEUTNP  1968         .     28.51
DEUTNP  1969         .     28.63
DEUTNP  1970         .     28.73
DEUTNP  1971         .     28.86
DEUTNP  1972         .     28.95
DEUTNP  1973         .     29.01
DEUTNP  1974         .     29.14
DEUTNP  1975         .     29.29
DEUTNP  1976         .     29.43
DEUTNP  1977         .     29.52
DEUTW  1941     26.07     25.94
DEUTW  1942     25.97     25.84
DEUTW  1943     25.85     25.71
DEUTW  1944     25.72     25.57
DEUTW  1945     25.67     25.51
DEUTW  1946     25.60     25.43
DEUTW  1947     25.72     25.56
DEUTW  1948     25.88     25.70
DEUTW  1949     26.05     25.86
DEUTW  1950     26.24     26.04
DEUTW  1951     26.36     26.17
DEUTW  1952     26.57     26.37
DEUTW  1953     26.75     26.55
DEUTW  1954     26.96     26.75
DEUTW  1955     27.10     26.89
DEUTW  1956     27.30     27.08
DEUTW  1957     27.49     27.25
DEUTW  1958     27.65     27.42
DEUTW  1959     27.79     27.54
DEUTW  1960     27.95     27.69
DEUTW  1961     28.15     27.89
DEUTW  1962     28.33     28.05
DEUTW  1963     28.57     28.27
DEUTW  1964     28.76     28.45
DEUTW  1965     28.98     28.65
DEUTW  1966     29.16     28.80
DEUTW  1967     29.34     28.96
DEUTW  1968         .     29.01
DEUTW  1969         .     29.02
DEUTW  1970         .     29.02
DEUTW  1971         .     29.08
DEUTW  1972         .     29.10
DEUTW  1973         .     29.10
DEUTW  1974         .     29.21
DEUTW  1975         .     29.33
DEUTW  1976         .     29.47
DEUTW  1977         .     29.56
DEUTE  1941     24.71     24.65
DEUTE  1942     24.54     24.48
DEUTE  1943     24.36     24.30
DEUTE  1944     24.20     24.14
DEUTE  1945     24.15     24.08
DEUTE  1946     24.06     23.98
DEUTE  1947     24.10     24.03
DEUTE  1948     24.18     24.11
DEUTE  1949     24.31     24.25
DEUTE  1950     24.42     24.36
DEUTE  1951     24.51     24.44
DEUTE  1952     24.58     24.51
DEUTE  1953     24.59     24.52
DEUTE  1954     24.60     24.52
DEUTE  1955     24.57     24.49
DEUTE  1956     24.53     24.44
DEUTE  1957     24.49     24.38
DEUTE  1958     24.44     24.32
DEUTE  1959     24.40     24.27
DEUTE  1960     24.35     24.22
DEUTE  1961     24.37     24.22
DEUTE  1962     24.47     24.30
DEUTE  1963     24.61     24.43
DEUTE  1964     24.84     24.64
DEUTE  1965     25.19     24.96
DEUTE  1966     25.56     25.30
DEUTE  1967     26.04     25.75
DEUTE  1968         .     26.23
DEUTE  1969         .     26.72
DEUTE  1970         .     27.23
DEUTE  1971         .     27.68
DEUTE  1972         .     28.07
DEUTE  1973         .     28.45
DEUTE  1974         .     28.70
DEUTE  1975         .     28.95
DEUTE  1976         .     29.12
DEUTE  1977         .     29.18
HUN  1935     25.34     25.16
HUN  1936     25.32     25.17
HUN  1937     25.30     25.16
HUN  1938     25.34     25.21
HUN  1939     25.33     25.21
HUN  1940     25.37     25.26
