Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort    CMAB    CMAB40
SVK  1948     25.48     25.37
SVK  1949     25.40     25.30
SVK  1950     25.37     25.26
SVK  1951     25.37     25.25
SVK  1952     25.33     25.22
SVK  1953     25.28     25.17
SVK  1954     25.23     25.13
SVK  1955     25.17     25.07
SVK  1956     25.10     24.98
SVK  1957     25.05     24.93
SVK  1958     25.01     24.90
SVK  1959     24.99     24.87
SVK  1960     25.01     24.87
SVK  1961     25.02     24.88
SVK  1962     24.99     24.85
SVK  1963     24.98     24.82
SVK  1964     25.01     24.83
SVK  1965         .     24.81
SVK  1966         .     24.87
SVK  1967         .     24.90
SVK  1968         .     24.95
SVK  1969         .     25.07
SVK  1970         .     25.29
SVK  1971         .     25.50
SVK  1972         .     25.77
SVK  1973         .     26.10
SVK  1974         .     26.46
SVN  1968         .     26.38
SVN  1969         .     26.80
SVN  1970         .     27.20
SVN  1971         .     27.53
SVN  1972         .     27.90
SVN  1973         .     28.16
SVN  1974         .     28.55
SVN  1975         .     28.80
SVN  1976         .     29.06
SVN  1977         .     29.32
ESP  1907     30.12     29.26
ESP  1908     30.11     29.27
ESP  1909     30.10     29.29
ESP  1910     30.12     29.32
ESP  1911     30.16     29.35
ESP  1912     30.19     29.38
ESP  1913     30.25     29.44
ESP  1914     30.31     29.49
ESP  1915     30.37     29.54
ESP  1916     30.41     29.57
ESP  1917     30.41     29.57
ESP  1918     30.38     29.55
ESP  1919     30.32     29.50
ESP  1920     30.30     29.47
ESP  1921     30.29     29.46
ESP  1922     30.29     29.45
ESP  1923     30.30     29.45
ESP  1924     30.31     29.48
ESP  1925     30.32     29.53
ESP  1926     30.32     29.58
ESP  1927     30.34     29.63
ESP  1928     30.35     29.68
ESP  1929     30.33     29.68
ESP  1930     30.29     29.66
ESP  1931     30.22     29.60
ESP  1932     30.09     29.49
ESP  1933     29.95     29.39
ESP  1934     29.81     29.28
ESP  1935     29.67     29.17
ESP  1936     29.54     29.08
ESP  1937     29.40     28.97
ESP  1938     29.24     28.84
ESP  1939     29.08     28.71
ESP  1940     28.98     28.62
ESP  1941     28.81     28.49
ESP  1942     28.66     28.36
ESP  1943     28.55     28.27
ESP  1944     28.38     28.13
ESP  1945     28.23     27.99
ESP  1946     28.06     27.84
ESP  1947     27.87     27.66
ESP  1948     27.76     27.56
ESP  1949     27.61     27.41
ESP  1950     27.47     27.27
ESP  1951     27.38     27.18
ESP  1952     27.29     27.10
ESP  1953     27.23     27.03
ESP  1954     27.19     26.99
ESP  1955     27.17     26.95
ESP  1956     27.20     26.97
ESP  1957     27.31     27.06
ESP  1958     27.45     27.18
ESP  1959     27.65     27.35
ESP  1960     27.92     27.58
ESP  1961     28.20     27.84
ESP  1962     28.49     28.10
ESP  1963     28.79     28.37
ESP  1964     29.06     28.63
ESP  1965     29.32     28.87
ESP  1966     29.61     29.13
ESP  1967         .     29.34
ESP  1968         .     29.58
ESP  1969         .     29.89
ESP  1970         .     30.24
ESP  1971         .     30.54
ESP  1972         .     30.75
ESP  1973         .     30.92
ESP  1974         .     31.06
ESP  1975         .     31.17
ESP  1976         .     31.23
SWE  1876     31.04     29.89
SWE  1877     30.92     29.78
SWE  1878     30.80     29.68
SWE  1879     30.68     29.56
SWE  1880     30.60     29.50
SWE  1881     30.54     29.49
SWE  1882     30.43     29.43
SWE  1883     30.32     29.35
SWE  1884     30.23     29.30
SWE  1885     30.12     29.22
SWE  1886     29.98     29.11
SWE  1887     29.83     29.00
SWE  1888     29.74     28.92
SWE  1889     29.65     28.85
SWE  1890     29.56     28.78
SWE  1891     29.42     28.67
SWE  1892     29.32     28.57
SWE  1893     29.25     28.50
SWE  1894     29.17     28.42
SWE  1895     29.09     28.34
SWE  1896     29.04     28.27
SWE  1897     28.98     28.21
SWE  1898     28.99     28.21
SWE  1899     29.06     28.23
SWE  1900     29.15     28.27
SWE  1901     29.22     28.30
SWE  1902     29.34     28.38
SWE  1903     29.52     28.55
SWE  1904     29.66     28.71
SWE  1905     29.78     28.87
SWE  1906     29.90     29.05
SWE  1907     29.89     29.12
SWE  1908     29.90     29.20
SWE  1909     29.89     29.24
SWE  1910     29.84     29.23
SWE  1911     29.77     29.20
SWE  1912     29.65     29.10
SWE  1913     29.49     28.97
SWE  1914     29.33     28.83
SWE  1915     29.19     28.70
SWE  1916     29.00     28.53
SWE  1917     28.77     28.33
SWE  1918     28.56     28.13
SWE  1919     28.35     27.95
SWE  1920     28.25     27.85
SWE  1921     28.12     27.74
SWE  1922     28.02     27.64
SWE  1923     27.91     27.54
SWE  1924     27.81     27.46
SWE  1925     27.68     27.36
SWE  1926     27.56     27.27
SWE  1927     27.47     27.21
SWE  1928     27.39     27.16
SWE  1929     27.31     27.09
SWE  1930     27.20     27.01
SWE  1931     27.09     26.92
SWE  1932     26.98     26.83
SWE  1933     26.88     26.72
SWE  1934     26.76     26.62
SWE  1935     26.67     26.53
SWE  1936     26.60     26.45
SWE  1937     26.50     26.35
SWE  1938     26.46     26.30
SWE  1939     26.42     26.25
SWE  1940     26.40     26.22
SWE  1941     26.37     26.19
SWE  1942     26.40     26.21
SWE  1943     26.39     26.18
SWE  1944     26.39     26.16
SWE  1945     26.40     26.18
SWE  1946     26.48     26.25
SWE  1947     26.61     26.35
SWE  1948     26.75     26.48
SWE  1949     26.93     26.66
SWE  1950     27.15     26.85
SWE  1951     27.34     27.05
SWE  1952     27.50     27.22
SWE  1953     27.69     27.41
SWE  1954     27.84     27.57
SWE  1955     27.98     27.72
SWE  1956     28.13     27.87
SWE  1957     28.33     28.07
SWE  1958     28.45     28.18
SWE  1959     28.60     28.31
SWE  1960     28.64     28.32
SWE  1961     28.71     28.38
SWE  1962     28.75     28.40
SWE  1963     28.79     28.41
SWE  1964     28.86     28.47
SWE  1965     28.93     28.51
SWE  1966     29.07     28.63
SWE  1967     29.12     28.68
SWE  1968     29.33     28.86
SWE  1969         .     29.03
SWE  1970         .     29.25
SWE  1971         .     29.53
SWE  1972         .     29.71
SWE  1973         .     29.96
SWE  1974         .     30.13
SWE  1975         .     30.18
SWE  1976         .     30.32
SWE  1977         .     30.35
SWE  1978         .     30.35
CHE  1917     29.90     29.36
CHE  1918     29.72     29.19
CHE  1919     29.58     29.03
CHE  1920     29.45     28.94
CHE  1921     29.41     28.89
CHE  1922     29.30     28.80
CHE  1923     29.25     28.78
CHE  1924     29.14     28.69
CHE  1925     29.09     28.67
CHE  1926     29.04     28.63
CHE  1927     28.92     28.55
CHE  1928     28.85     28.53
CHE  1929     28.80     28.50
CHE  1930     28.66     28.38
CHE  1931     28.57     28.32
CHE  1932     28.44     28.23
CHE  1933     28.27     28.08
CHE  1934     28.08     27.91
CHE  1935     27.90     27.75
CHE  1936     27.68     27.54
CHE  1937     27.42     27.30
CHE  1938     27.25     27.12
CHE  1939     27.07     26.94
CHE  1940     26.91     26.78
CHE  1941     26.74     26.62
CHE  1942     26.76     26.62
CHE  1943     26.68     26.54
CHE  1944     26.71     26.58
CHE  1945     26.77     26.62
CHE  1946     26.81     26.67
CHE  1947     26.84     26.68
CHE  1948     26.95     26.79
CHE  1949     27.07     26.90
CHE  1950     27.24     27.04
CHE  1951     27.41     27.21
CHE  1952     27.63     27.43
CHE  1953     27.77     27.57
CHE  1954     27.91     27.70
CHE  1955     28.10     27.88
CHE  1956     28.33     28.10
CHE  1957     28.46     28.22
CHE  1958     28.57     28.33
CHE  1959     28.64     28.39
CHE  1960     28.74     28.47
CHE  1961     28.86     28.57
CHE  1962     29.01     28.71
CHE  1963     29.18     28.87
CHE  1964     29.36     29.00
CHE  1965     29.56     29.18
CHE  1966     29.68     29.28
CHE  1967         .     29.43
CHE  1968         .     29.54
CHE  1969         .     29.62
CHE  1970         .     29.82
CHE  1971         .     29.90
CHE  1972         .     30.04
CHE  1973         .     30.18
CHE  1974         .     30.25
CHE  1975         .     30.40
CHE  1976         .     30.48
TWN  1961     26.51     26.41
TWN  1962     26.72     26.61
TWN  1963     26.92     26.82
TWN  1964     27.12     27.01
TWN  1965         .     27.18
TWN  1966         .     27.28
TWN  1967         .     27.37
TWN  1968         .     27.47
TWN  1969         .     27.52
TWN  1970         .     27.56
TWN  1971         .     27.61
TWN  1972         .     27.67
TWN  1973         .     27.79
TWN  1974         .     27.94
UKR  1944     26.19     26.00
UKR  1945     26.04     25.86
UKR  1946     26.01     25.84
UKR  1947     25.90     25.74
UKR  1948     25.82     25.68
UKR  1949     25.88     25.74
UKR  1950     25.78     25.66
UKR  1951     25.76     25.65
UKR  1952     25.67     25.57
UKR  1953     25.59     25.49
UKR  1954     25.53     25.44
UKR  1955     25.43     25.34
UKR  1956     25.30     25.21
UKR  1957     25.14     25.05
UKR  1958     25.00     24.91
UKR  1959     24.86     24.76
UKR  1960     24.71     24.62
UKR  1961     24.61     24.51
UKR  1962     24.53     24.41
UKR  1963     24.42     24.29
UKR  1964         .     24.22
UKR  1965         .     24.15
UKR  1966         .     24.11
UKR  1967         .     24.15
UKR  1968         .     24.19
UKR  1969         .     24.28
UKR  1970         .     24.40
UKR  1971         .     24.58
UKR  1972         .     24.83
UKR  1973         .     25.06
GBR_NP  1959     27.73     27.41
GBR_NP  1960     27.83     27.50
GBR_NP  1961     27.94     27.59
GBR_NP  1962     28.08     27.71
GBR_NP  1963     28.22     27.83
GBR_NP  1964     28.34     27.93
GBR_NP  1965     28.42     27.99
GBR_NP  1966     28.46     28.01
GBR_NP  1967         .     28.05
GBR_NP  1968         .     28.15
GBR_NP  1969         .     28.27
GBR_NP  1970         .     28.41
GBR_NP  1971         .     28.55
GBR_NP  1972         .     28.68
GBR_NP  1973         .     28.79
GBR_NP  1974         .     28.90
GBR_NP  1975         .     28.96
GBR_NP  1976         .     29.00
GBRTENW  1923     28.39     27.95
GBRTENW  1924     28.32     27.90
GBRTENW  1925     28.28     27.89
GBRTENW  1926     28.23     27.88
GBRTENW  1927     28.16     27.84
GBRTENW  1928     28.08     27.79
GBRTENW  1929     28.02     27.76
GBRTENW  1930     27.95     27.71
GBRTENW  1931     27.80     27.59
GBRTENW  1932     27.66     27.47
GBRTENW  1933     27.49     27.32
GBRTENW  1934     27.30     27.13
GBRTENW  1935     27.10     26.95
GBRTENW  1936     26.91     26.76
GBRTENW  1937     26.70     26.56
GBRTENW  1938     26.51     26.36
GBRTENW  1939     26.35     26.19
GBRTENW  1940     26.20     26.03
GBRTENW  1941     26.06     25.90
GBRTENW  1942     26.00     25.84
GBRTENW  1943     25.95     25.79
GBRTENW  1944     25.91     25.75
GBRTENW  1945     25.96     25.78
GBRTENW  1946     26.03     25.85
GBRTENW  1947     26.14     25.96
GBRTENW  1948     26.25     26.06
GBRTENW  1949     26.37     26.16
GBRTENW  1950     26.49     26.26
GBRTENW  1951     26.61     26.37
GBRTENW  1952     26.75     26.51
GBRTENW  1953     26.91     26.66
GBRTENW  1954     27.06     26.80
GBRTENW  1955     27.21     26.93
GBRTENW  1956     27.33     27.04
GBRTENW  1957     27.48     27.18
GBRTENW  1958     27.64     27.34
GBRTENW  1959     27.77     27.44
GBRTENW  1960     27.87     27.53
GBRTENW  1961     27.98     27.62
GBRTENW  1962     28.11     27.74
GBRTENW  1963     28.26     27.86
GBRTENW  1964     28.38     27.96
GBRTENW  1965     28.45     28.01
GBRTENW  1966     28.48     28.02
GBRTENW  1967         .     28.06
GBRTENW  1968         .     28.14
GBRTENW  1969         .     28.27
GBRTENW  1970         .     28.40
GBRTENW  1971         .     28.54
GBRTENW  1972         .     28.67
GBRTENW  1973         .     28.78
GBRTENW  1974         .     28.89
GBRTENW  1975         .     28.95
GBRTENW  1976         .     28.99
GBR_SCO  1930     28.09     27.86
GBR_SCO  1931     27.90     27.71
GBR_SCO  1932     27.74     27.57
GBR_SCO  1933     27.56     27.40
GBR_SCO  1934     27.34     27.20
GBR_SCO  1935     27.12     27.00
GBR_SCO  1936     26.92     26.80
GBR_SCO  1937     26.70     26.58
GBR_SCO  1938     26.51     26.39
GBR_SCO  1939     26.36     26.24
GBR_SCO  1940     26.23     26.10
GBR_SCO  1941     26.12     26.00
GBR_SCO  1942     26.03     25.90
GBR_SCO  1943     25.93     25.80
GBR_SCO  1944     25.86     25.74
GBR_SCO  1945     25.81     25.69
GBR_SCO  1946     25.80     25.68
GBR_SCO  1947     25.86     25.73
GBR_SCO  1948     25.91     25.77
GBR_SCO  1949     26.00     25.85
GBR_SCO  1950     26.10     25.94
GBR_SCO  1951     26.26     26.09
GBR_SCO  1952     26.38     26.20
GBR_SCO  1953     26.47     26.28
GBR_SCO  1954     26.60     26.40
GBR_SCO  1955     26.73     26.51
GBR_SCO  1956     26.82     26.61
GBR_SCO  1957     27.02     26.78
GBR_SCO  1958     27.20     26.95
GBR_SCO  1959     27.31     27.06
GBR_SCO  1960     27.43     27.17
GBR_SCO  1961     27.58     27.30
GBR_SCO  1962     27.73     27.42
GBR_SCO  1963     27.89     27.57
GBR_SCO  1964     28.02     27.68
GBR_SCO  1965     28.15     27.78
GBR_SCO  1966     28.25     27.86
GBR_SCO  1967         .     27.93
GBR_SCO  1968         .     28.04
GBR_SCO  1969         .     28.21
GBR_SCO  1970         .     28.41
GBR_SCO  1971         .     28.56
GBR_SCO  1972         .     28.64
GBR_SCO  1973         .     28.73
GBR_SCO  1974         .     28.84
GBR_SCO  1975         .     28.92
GBR_SCO  1976         .     29.02
GBR_NIR  1959     27.67     27.41
GBR_NIR  1960     27.74     27.47
GBR_NIR  1961     27.84     27.54
GBR_NIR  1962     27.99     27.70
GBR_NIR  1963     28.07     27.78
GBR_NIR  1964     28.23     27.91
GBR_NIR  1965     28.34     27.98
GBR_NIR  1966     28.42     28.05
GBR_NIR  1967         .     28.23
GBR_NIR  1968         .     28.42
GBR_NIR  1969         .     28.48
GBR_NIR  1970         .     28.61
GBR_NIR  1971         .     28.83
GBR_NIR  1972         .     28.99
GBR_NIR  1973         .     29.10
GBR_NIR  1974         .     29.22
GBR_NIR  1975         .     29.34
GBR_NIR  1976         .     29.37
USA  1918     27.88     27.43
USA  1919     27.81     27.37
USA  1920     27.80     27.37
USA  1921     27.68     27.28
USA  1922     27.55     27.18
USA  1923     27.45     27.11
USA  1924     27.35     27.04
USA  1925     27.21     26.92
USA  1926     27.02     26.76
USA  1927     26.82     26.59
USA  1928     26.63     26.42
USA  1929     26.44     26.26
USA  1930     26.27     26.10
USA  1931     26.03     25.88
USA  1932     25.80     25.66
USA  1933     25.59     25.47
USA  1934     25.41     25.29
USA  1935     25.23     25.12
USA  1936     25.06     24.95
USA  1937     24.90     24.78
USA  1938     24.75     24.64
USA  1939     24.66     24.54
USA  1940     24.63     24.51
USA  1941     24.65     24.52
USA  1942     24.71     24.58
USA  1943     24.78     24.64
USA  1944     24.87     24.72
USA  1945     25.02     24.85
USA  1946     25.20     25.02
USA  1947     25.37     25.18
USA  1948     25.52     25.32
USA  1949     25.71     25.48
USA  1950     25.91     25.67
USA  1951     26.11     25.85
USA  1952     26.28     26.01
USA  1953     26.42     26.14
USA  1954     26.52     26.23
USA  1955     26.60     26.31
USA  1956     26.68     26.38
USA  1957     26.78     26.47
USA  1958     26.87     26.55
USA  1959     26.93     26.61
USA  1960     27.01     26.67
USA  1961     27.10     26.75
USA  1962     27.19     26.83
USA  1963     27.27     26.91
USA  1964     27.33     26.95
USA  1965     27.37     26.99
USA  1966     27.43     27.05
USA  1967     27.48     27.10
USA  1968         .     27.14
USA  1969         .     27.17
USA  1970         .     27.16
USA  1971         .     27.12
USA  1972         .     27.08
USA  1973         .     27.07
USA  1974         .     27.10
USA  1975         .     27.13
USA  1976         .     27.18
USA  1977         .     27.24
